arabic,english,sources,rank,page,situation,words_in_phrase
شامل ال...؟,Is the ... included? 4 options,phrases,,,Sightseeing,2
شو هادا؟,What's that?,phrases,,,Sightseeing,2
مُمكِن أصَوِّر؟,Can I take a photo?,phrases,,,Sightseeing,2
كَم ساعة الرِحلة؟,How long is the tour?,phrases,,,Sightseeing,3
مَتى بنِرجَع؟,What time will we return?,phrases,,,Sightseeing,2
بَتراء,Petra,phrases,,,Sightseeing,1
وادي رُم,Wadi Rum,phrases,,,Sightseeing,2
القُدس القَديمة,Jerusalem Old City,phrases,,,Sightseeing,2
قَلعة,Castle Noun,phrases,,,Sightseeing,1
مَتحَف,Museum Noun,phrases,,,Sightseeing,1
ساحة رئيسية,Main square,phrases,,,Sightseeing,2
مَدينة قَديمة,Old city,phrases,,,Sightseeing,2
قَصر,Palace Noun,phrases,,,Sightseeing,1
الأهرام,Pyramids,phrases,,,Sightseeing,1
آثار,Ruins Noun,phrases,,,Sightseeing,1
بروشور,Brochure,phrases,,,Sightseeing,1
دَليل,Guide,phrases,,,Sightseeing,1
خَريطة المَنطَقة,Local map,phrases,,,Sightseeing,2
دَخولية,Admission charge,phrases,,,Sightseeing,1
إِخوة,Brothers Noun,phrases,,,Family,1
خَوات,Sisters,phrases,,,Family,1
إبن ...,Male cousin - ...'s son 4 options,phrases,,,Family,2
بِنت ...,Female cousin - ...'s daughter 4 options,phrases,,,Family,2
في عَندَك ...؟,Do you have ...,phrases,,,Family,3
كَم شَخص في عائلتَك,How many people in your family?,phrases,,,Family,4
في ... أفراد في عايلتي,There are ... people in my family,phrases,,,Family,5
أنا أعزِب,I'm single,phrases,,,Dating,2
إنتَ أعزِب؟,Are you single?,phrases,,,Dating,2
أنا مُتجَوِّز,I'm married,phrases,,,Dating,2
أنا مِش مُتجَوِّز,I'm not married,phrases,,,Dating,3
إنتِ مِتجَوِّزة / إنتَ مِتجَوِّز,Are you married? (f./m.),phrases,,,Dating,5
عِندِك حَبيب؟,Do you have a boyfriend?,phrases,,,Dating,2
عِندَك حَبيبة؟,Do you have a girlfriend?,phrases,,,Dating,2
بَحِسّ إني مَريض,I feel ill,phrases,,,Feeling ill,3
رَح أُمرُض,I'm going to be ill,phrases,,,Feeling ill,2
أنا مَريض,I'm sick,phrases,,,Feeling ill,2
...ي بوجِّعَني,My ... hurts 24 options,phrases,,,Feeling ill,2
عِندي ألم في ...ي,I have a pain in my ... 24 options,phrases,,,Feeling ill,4
عَندي صُداع,I have a headache,phrases,,,Feeling ill,2
عيون,Eyes Noun,phrases,,,Body Parts,1
دَقن,Chin Noun,phrases,,,Body Parts,1
فَخذ,Thigh Noun,phrases,,,Body Parts,1
أصبَع القَدم,Toe,phrases,,,Body Parts,2
عيد ميلاد مَجيد,Happy Christmas,phrases,,,Occasions,3
رَمَضان مُبارَك,Happy Ramadan,phrases,,,Occasions,2
بتِلعِب ...؟,Do you play ...? 6 options,phrases,,,Sports,2
أنا بِلعِب ...,I play ... 6 options,phrases,,,Sports,3
بتحِبّ ... ؟,Do you like ...? 6 options,phrases,,,Sports,3
مين بتشَجِّع؟,Who do you support?,phrases,,,Sports,2
أنا بشَجِّع ...,I support ...,phrases,,,Sports,3
بِدَّك تِلعِب ... مَعي؟,Do you want to play ... with me? 6 options,phrases,,,Sports,4
كُرة القَدم,Football,phrases,,,Sports,2
تَنيس طَولة,Table tennis,phrases,,,Sports,2
كُرة السَلّة,Basketball,phrases,,,Sports,2
بِلياردو,Pool,phrases,,,Sports,1
شَطرَنج,Chess,phrases,,,Sports,1
كُرة الطائرة,Volleyball,phrases,,,Sports,2
الجَو ...,The weather is ... 7 options,phrases,,,Weather,2
كيف رَح يكون الجَو ...,How will the weather be on ...? 7 options,phrases,,,Weather,5
في ...,There's ... 5 options,phrases,,,Weather,2
هُوَّ فَصل ال...,It's the ... season 4 options,phrases,,,Weather,3
سَقَع,Freezing,phrases,,,Weather,1
نار,So hot (fire),phrases,,,Weather,1
شَوبان,Warm Adjective,phrases,,,Weather,1
بَردان,Cold Adjective,phrases,,,Weather,1
سَقعان,Freezing,phrases,,,Weather,1
حَميان,Hot,phrases,,,Weather,1
تَلج,Snow Noun,phrases,,,Weather,1
غَيوم,Clouds Noun,phrases,,,Weather,1
عالآخِر,Extremely,phrases,,,Adverbs,1
لألله,"""To Allah""",phrases,,,Adverbs,1
كتير مَرّات,Often,phrases,,,Adverbs,2
غالِباً,Probably Functional,phrases,,,Adverbs,1
موَصِّل,Adapter,phrases,,,Dictionary,1
عِنوان,Address Noun,phrases,,,Dictionary,1
الكُحول,Alcohol,phrases,,,Dictionary,1
كاحِل,Ankle Noun,phrases,,,Dictionary,1
متَكّة,Ashtray,phrases,,,Dictionary,1
شَنتة ظَهر,Backpack,phrases,,,Dictionary,2
مَكان لَجَمِع الشَنتات,Baggage Claim,phrases,,,Dictionary,3
جَميل,Beautiful,phrases,,,Dictionary,1
بيرا,Beer,phrases,,,Dictionary,1
بِسيكلِت,Bicycle Noun,phrases,,,Dictionary,1
فِئة الدَم,Blood group,phrases,,,Dictionary,2
بَحجَز,Book (I book / reserve),phrases,,,Dictionary,1
قَنينة,Bottle Noun,phrases,,,Dictionary,1
فاتِح القنينات,Bottle opener,phrases,,,Dictionary,2
بِشتَري,Buy (I buy),phrases,,,Dictionary,1
كاميرا,Camera,phrases,,,Dictionary,1
بَلغي,Cancel (I cancel),phrases,,,Dictionary,1
موبَيل,Cell phone,phrases,,,Dictionary,1
وَسط,Centre Noun,phrases,,,Dictionary,1
بَصَرِّف,Change (I change money),phrases,,,Dictionary,1
مَكتَب التَسجيل,Check-in,phrases,,,Dictionary,2
سيغارة,Cigarette,phrases,,,Dictionary,1
نظيف,Clean Adjective,phrases,,,Dictionary,1
بِجي,Come (I come),phrases,,,Dictionary,1
الواقي,Condom,phrases,,,Dictionary,1
بَطبَخ,Cook (I cook),phrases,,,Dictionary,1
تَكلِفة,Cost,phrases,,,Dictionary,1
بَطاقة رَصيد,Credit Card,phrases,,,Dictionary,2
صَرَّافة,Currency exchange Noun,phrases,,,Dictionary,1
جَمارُك,Customs (immigration),phrases,,,Dictionary,1
خَطير,Dangerous Adjective,phrases,,,Dictionary,1
دُكتور إسنان,Dentist,phrases,,,Dictionary,2
بَغادِر,Depart (I depart),phrases,,,Dictionary,1
قاموس,Dictionary Noun,phrases,,,Dictionary,1
مُباشِر,Direct,phrases,,,Dictionary,1
مُعاق,Disabled,phrases,,,Dictionary,1
تَخت مِزوِج,Double bed,phrases,,,Dictionary,2
غُرفة لَشَخصَين,Double room,phrases,,,Dictionary,2
مَشروب,Drink,phrases,,,Dictionary,1
بَسوق,Drive (I drive),phrases,,,Dictionary,1
رُخصة القيادة,Driver's license,phrases,,,Dictionary,2
مُخَدِّرات,Drugs,phrases,,,Dictionary,1
باكُل,Eat (I eat),phrases,,,Dictionary,1
الدَرجة العادية,Economy class,phrases,,,Dictionary,2
كَهرِباء,Electricity Noun,phrases,,,Dictionary,1
طارئ,Emergency,phrases,,,Dictionary,1
الإنجليزي,English language,phrases,,,Dictionary,1
بَريد سَريع,Express mail,phrases,,,Dictionary,2
فيلم,Film Noun,phrases,,,Dictionary,1
صَندوق الإسعاف الأوّل,First aid kit,phrases,,,Dictionary,3
الدَرَجة الأُولى,First class,phrases,,,Dictionary,2
مَجاناً,Free (of charge),phrases,,,Dictionary,1
صَديق,Friend Noun,phrases,,,Dictionary,1
مُضحِك,Funny Adjective,phrases,,,Dictionary,1
بَروح,Go (I go),phrases,,,Dictionary,1
مَحفَظة يَد,Handbag,phrases,,,Dictionary,2
بَساعَد,Help (I help),phrases,,,Dictionary,1
شامِل,Included Verb,phrases,,,Dictionary,1
مُتَرجِم,Interpreter,phrases,,,Dictionary,1
مُجَوهرات,Jewellery,phrases,,,Dictionary,1
يسار,Left,phrases,,,Dictionary,1
مَكتَب الإحفاظ بِالأمتَعة,Left luggage,phrases,,,Dictionary,3
سِحاقية,Lesbian Noun,phrases,,,Dictionary,1
بَحِبّ,Like (I like),phrases,,,Dictionary,1
مَكتَب الأغراض الضائعة,Lost property,phrases,,,Dictionary,3
أمتَعة,Luggage,phrases,,,Dictionary,1
خَريطة,Map Noun,phrases,,,Dictionary,1
لَحم,Meat Noun,phrases,,,Dictionary,1
تُمّ,Mouth Noun,phrases,,,Dictionary,1
موسيقى,Music Noun,phrases,,,Dictionary,1
إسم,Name Noun,phrases,,,Dictionary,1
مَحرَمة,Napkin,phrases,,,Dictionary,1
حَفاظة طِفل,Nappy,phrases,,,Dictionary,2
أخبار,News,phrases,,,Dictionary,1
جَريدة,Newspaper Noun,phrases,,,Dictionary,1
ضَجيج,Noisy,phrases,,,Dictionary,1
غير المُدَخِّنين,Non-smoking,phrases,,,Dictionary,2
تَذكِرة ذَهاب,One-way ticket,phrases,,,Dictionary,2
وَرَقة,Paper Noun,phrases,,,Dictionary,1
بَصُفّ,Park (I park),phrases,,,Dictionary,1
بَدفَع,Pay (I pay),phrases,,,Dictionary,1
بَطاقة تَليفون,Phonecard,phrases,,,Dictionary,2
صورة,Photo Noun,phrases,,,Dictionary,1
شُرطة,Police,phrases,,,Dictionary,1
بَطاقة مُعايدة,Postcard,phrases,,,Dictionary,2
شِلفة,Razor,phrases,,,Dictionary,1
إعادة مالي,Refund,phrases,,,Dictionary,2
بَريد مُسَجِّل,Registered mail,phrases,,,Dictionary,2
بَستَأجِّر,Rent (I rent),phrases,,,Dictionary,1
بَصَلِّح,Repair (I repair),phrases,,,Dictionary,1
بَرجَع,Return (I return),phrases,,,Dictionary,1
تَذكِرة ذهاب وإياب,Return ticket,phrases,,,Dictionary,3
آمِن,Safe,phrases,,,Dictionary,1
مَنديل نِسائي,Sanitary pad,phrases,,,Dictionary,2
مَقعَد,Seat Noun,phrases,,,Dictionary,1
بَبعَت,Send (I send),phrases,,,Dictionary,1
مَحَطة البَنزين,Service station,phrases,,,Dictionary,2
جِنس,Sex,phrases,,,Dictionary,1
شامبو,Shampoo,phrases,,,Dictionary,1
بَشارَك,Share (I share),phrases,,,Dictionary,1
مَعجون الحَلاقة,Shaving cream,phrases,,,Dictionary,2
شَرشَف,Sheet (bed),phrases,,,Dictionary,1
بوط,Shoes,phrases,,,Dictionary,1
غُرفة مِفرِد,Single room,phrases,,,Dictionary,2
بَنام,Sleep (I sleep),phrases,,,Dictionary,1
بَدَخِّن,Smoke (I smoke),phrases,,,Dictionary,1
بَحكي,Speak (I speak),phrases,,,Dictionary,1
مَعلَقة,Spoon Noun,phrases,,,Dictionary,1
طابَع,Stamp,phrases,,,Dictionary,1
بَوَقِّف,Stop (I stop),phrases,,,Dictionary,1
مَعجون واقي في الشَمس,Sunscreen,phrases,,,Dictionary,4
بَسبَح,Swim (I swim),phrases,,,Dictionary,1
صَمام النِسائي,Tampons,phrases,,,Dictionary,2
مَعلَقة شاي,Teaspoon,phrases,,,Dictionary,2
إسنان,Teeth,phrases,,,Dictionary,1
خَيمة,Tent Noun,phrases,,,Dictionary,1
مَحارِم,Tissues,phrases,,,Dictionary,1
لَيلة اليوم,Tonight,phrases,,,Dictionary,2
فَرشاة الإسنان,Toothbrush,phrases,,,Dictionary,2
مَعجون الإسنان,Toothpaste,phrases,,,Dictionary,2
مِشعَل كَهرِبائي,Torch,phrases,,,Dictionary,2
دَورة,Tour,phrases,,,Dictionary,1
مَكتَب السياحة,Tourist office,phrases,,,Dictionary,2
بَتَرجِّم,Translate (I translate),phrases,,,Dictionary,1
وَكالة السَفر,Travel agency,phrases,,,Dictionary,2
شيك سياحي,Travellers cheque,phrases,,,Dictionary,2
لِباس تَحتية,Underwear,phrases,,,Dictionary,2
مِستَعجِل,Urgent Adjective,phrases,,,Dictionary,1
خَضراوات,Vegetable,phrases,,,Dictionary,1
فيزة,Visa Noun,phrases,,,Dictionary,1
غَرسُن,Waiter,phrases,,,Dictionary,1
بَمشي,Walk (I walk),phrases,,,Dictionary,1
بَغَسِّل,Wash (I wash),phrases,,,Dictionary,1
ساعة يَد,Watch,phrases,,,Dictionary,2
نَبيذ,Wine Noun,phrases,,,Dictionary,1
بَكتُب,Write (I write),phrases,,,Dictionary,1
